network,subset_name,eval_subset,seed,optimizer,layers,accuracy,precision,recall,f1,precision_w,recall_w,f1_w
EfficientNetV2B0,dried,microscope,4,AdamW,GlobalMaxPooling2D,0.6455696202531646,0.6764408493427705,0.6398909732243065,0.6238095238095238,0.6747257810600146,0.6455696202531646,0.6261000602772755
EfficientNetV2B0,dried,phone,4,AdamW,GlobalMaxPooling2D,0.6060606060606061,0.5737556561085972,0.5710549258936356,0.5718088055894421,0.5998080351021527,0.6060606060606061,0.6023907702958385
EfficientNetV2B0,dried,fresh,4,AdamW,GlobalMaxPooling2D,0.6130952380952381,0.6385918003565063,0.6365832235397453,0.6129718234981393,0.6598389355742297,0.6130952380952381,0.6117376775271511
EfficientNetV2B0,dried,dried,4,AdamW,GlobalMaxPooling2D,0.6629213483146067,0.6605876393110436,0.661734693877551,0.6608231707317074,0.6647883155174573,0.6629213483146067,0.6635208276240065
EfficientNetV2B0,dried,comparison,4,AdamW,GlobalMaxPooling2D,0.6303501945525292,0.6404424558786975,0.6377880746250457,0.6297896859694613,0.6456116628994178,0.6303501945525292,0.6286126179450187
EfficientNetV2B0,dried,all,6,AdamW,GlobalMaxPooling2D,0.5782493368700266,0.5906353011687144,0.5853847891141098,0.5743682233567416,0.5934321318168052,0.5782493368700266,0.5721042404739921
EfficientNetV2B0,dried,microscope,6,AdamW,GlobalMaxPooling2D,0.5886075949367089,0.612280701754386,0.5820907487574154,0.5556997620592689,0.6111259160559628,0.5886075949367089,0.5587609558153098
EfficientNetV2B0,dried,phone,6,AdamW,GlobalMaxPooling2D,0.5959595959595959,0.5645089285714285,0.5629904097646034,0.5634920634920635,0.5916215728715728,0.5959595959595959,0.5935545935545935
EfficientNetV2B0,dried,fresh,6,AdamW,GlobalMaxPooling2D,0.5773809523809523,0.6081862446743762,0.6040843214756259,0.5766459627329192,0.629189853056256,0.5773809523809523,0.5734960070984916
EfficientNetV2B0,dried,dried,6,AdamW,GlobalMaxPooling2D,0.6179775280898876,0.614030612244898,0.614030612244898,0.614030612244898,0.6179775280898876,0.6179775280898876,0.6179775280898876
